gene,chromosome,mean_expr,std_expr,corr_cis,pval_cis,corr_trans,pval_trans,cis_minus_trans,cnv_source,corr_with_cnv,pval,pval_adj,dosage_sensitive,dosage_compensated,strong_cis_effect
HLA-DPB1,chr6,2.1862729,1.4522177,0.7551835029774634,0.0,-0.6268008277682583,0.0,1.3819843307457216,chromosome-specific,0.7551835029774634,0.0,0.0,True,False,True
HLA-DPA1,chr6,2.0542805,1.4666812,0.7518644202513691,0.0,-0.6840920351054316,0.0,1.4359564553568007,chromosome-specific,0.7518644202513691,0.0,0.0,True,False,True
HLA-DRB1,chr6,2.0023403,1.4423469,0.7491011065154397,0.0,-0.6726150274816234,0.0,1.4217161339970632,chromosome-specific,0.7491011065154397,0.0,0.0,True,False,True
HLA-DRA,chr6,2.661272,1.7984314,0.7428096949524517,0.0,-0.7218941419724935,0.0,1.4647038369249452,chromosome-specific,0.7428096949524517,0.0,0.0,True,False,True
HLA-DQA1,chr6,0.9181776,1.107559,0.7403411925893004,0.0,-0.6091575079487355,0.0,1.349498700538036,chromosome-specific,0.7403411925893004,0.0,0.0,True,False,True
HLA-DQB1,chr6,1.1024008,1.1736612,0.7313871515783699,0.0,-0.6850231812229925,0.0,1.4164103328013624,chromosome-specific,0.7313871515783699,0.0,0.0,True,False,True
HLA-DRB5,chr6,1.3562024,1.1859576,0.7226299795282515,0.0,-0.6488893526673244,0.0,1.3715193321955759,chromosome-specific,0.7226299795282515,0.0,0.0,True,False,True
HLA-DMA,chr6,1.1730251,1.0859132,0.6767590295805528,0.0,-0.6647715519899144,0.0,1.3415305815704672,chromosome-specific,0.6767590295805528,0.0,0.0,True,False,True
AIF1,chr6,1.1405982,1.2916311,0.6410899839190488,0.0,-0.7181247015002156,0.0,1.3592146854192644,chromosome-specific,0.6410899839190488,0.0,0.0,True,False,True
LST1,chr6,0.77740645,1.0112305,0.5606157068955167,0.0,-0.6710274599336896,0.0,1.2316431668292063,chromosome-specific,0.5606157068955167,0.0,0.0,True,False,True
LY86,chr6,0.36503056,0.57371044,0.5400409150944476,0.0,-0.586149883421698,0.0,1.1261907985161457,chromosome-specific,0.5400409150944476,0.0,0.0,True,False,True
CCL5,chr17,1.2870568,1.819654,0.5365709706090166,0.0,0.5343088178127828,0.0,0.002262152796233763,chromosome-specific,0.5365709706090166,0.0,0.0,True,False,False
CCL4,chr17,1.2424549,1.5691272,0.5268139813835115,0.0,0.28279106660321474,2.12956324482835e-117,0.2440229147802968,chromosome-specific,0.5268139813835115,0.0,0.0,True,False,True
TREM2,chr6,0.45308915,0.7420587,0.4930078765473409,0.0,-0.6136653065977301,0.0,1.106673183145071,chromosome-specific,0.4930078765473409,0.0,0.0,True,False,True
S100A11,chr1,2.1364453,1.3418274,0.4790558297494502,0.0,-0.6739135930421913,0.0,1.1529694227916416,chromosome-specific,0.4790558297494502,0.0,0.0,True,False,True
FCER1G,chr1,1.3604528,1.4118613,0.4678306435218288,0.0,-0.6934426248490839,0.0,1.1612732683709126,chromosome-specific,0.4678306435218288,0.0,0.0,True,False,True
C1QA,chr1,1.5461302,1.7607592,0.4610555687736686,0.0,-0.7172771167074504,0.0,1.1783326854811191,chromosome-specific,0.4610555687736686,0.0,0.0,True,False,True
